outcome_id,outcome_label,group,denominator,numerator,negative,proportion,percent,percent_4dp,z_score,standard_error_proportion,standard_error_percent_points,ci_half_width_proportion,ci_half_width_percent_points,ci_lower_proportion,ci_upper_proportion,ci_lower_percent,ci_upper_percent,chi_square_p_value,odds,odds_ratio_vs_non_ibd,log_odds_ratio_se_vs_non_ibd,odds_ratio_ci_lower_vs_non_ibd,odds_ratio_ci_upper_vs_non_ibd
anal_cancer_dysplasia_total,"% with Anal Cancer or Dysplasia, total",Non-IBD,305065760,128173,304937587,4.201487574351183e-4,0.04201487574351183,0.042,1.96,1.1733121161882418e-6,1.1733121161882418e-4,2.299691747728954e-6,2.299691747728954e-4,4.178490656873893e-4,4.2244844918284724e-4,0.041784906568738935,0.04224484491828472,0,4.2032535661141703e-4,1,,,
anal_cancer_dysplasia_total,"% with Anal Cancer or Dysplasia, total",Crohn's Disease,1206873,2535,1204338,0.002100469560591711,0.2100469560591711,0.21,1.96,4.1674540453500706e-5,0.004167454045350071,8.168209928886139e-5,0.008168209928886139,0.0020187874613028494,0.0021821516598805723,0.20187874613028495,0.21821516598805724,0,0.002104890819686832,5.00776550017363,0.020077671273533937,4.8145258744536426,5.208761144642324
anal_cancer_dysplasia_total,"% with Anal Cancer or Dysplasia, total",Ulcerative Colitis,1191972,3227,1188745,0.002707278358887625,0.2707278358887625,0.2707,1.96,4.759318328859478e-5,0.004759318328859478,9.328263924564578e-5,0.009328263924564578,0.0026139957196419793,0.0028005609981332706,0.26139957196419794,0.2800560998133271,0,0.0027146276114726033,6.458396022922371,0.017847459210201068,6.236380545125375,6.68831526349086
perianal_disease_anal_cancer_dysplasia_5y,"% with Perianal disease, and cancer/dysplasia within 5 years of diagnosis",Non-IBD,305065760,10195,305055565,3.341902414744939e-5,0.003341902414744939,0.0033,1.96,3.309732481362116e-7,3.309732481362116e-5,6.487075663469747e-7,6.487075663469748e-5,3.277031658110241e-5,3.406773171379636e-5,0.003277031658110241,0.0034067731713796363,0,3.3420141015949015e-5,1,,,
perianal_disease_anal_cancer_dysplasia_5y,"% with Perianal disease, and cancer/dysplasia within 5 years of diagnosis",Crohn's Disease,1206873,575,1206298,0.00047643786877326775,0.047643786877326774,0.0476,1.96,1.986409891234522e-5,0.001986409891234522,3.8933633868196634e-5,0.0038933633868196635,4.375042349050711e-4,5.153715026414644e-4,0.04375042349050711,0.05153715026414644,0,4.766649700157009e-4,14.262805467763384,0.042872485268822785,13.113274809786269,15.513105823073701
perianal_disease_anal_cancer_dysplasia_5y,"% with Perianal disease, and cancer/dysplasia within 5 years of diagnosis",Ulcerative Colitis,1191972,488,1191484,4.0940559006419613e-4,0.040940559006419616,0.0409,1.96,1.85291261362672e-5,0.0018529126136267201,3.6317087227083715e-5,0.0036317087227083714,3.7308850283711243e-4,4.457226772912798e-4,0.037308850283711247,0.04457226772912798,0,4.09573271651151e-4,12.255282569145693,0.0463477096860914,11.191063557802634,13.420703945952434
anal_hrhpv_total,"% with anal-area HR-HPV, Total",Non-IBD,305065760,22867,305042893,7.495760913974744e-5,0.007495760913974744,0.0075,1.96,4.95672531506342e-7,4.95672531506342e-5,9.715181617524302e-7,9.715181617524302e-5,7.398609097799501e-5,7.592912730149986e-5,0.007398609097799502,0.007592912730149987,7.083844982962509e-153,7.496322820410703e-5,1,,,
anal_hrhpv_total,"% with anal-area HR-HPV, Total",Crohn's Disease,1206873,197,1206676,1.6323175677971087e-4,0.016323175677971088,0.0163,1.96,1.1628831921358534e-5,0.0011628831921358534,2.2792510565862725e-5,0.0022792510565862725,1.4043924621384815e-4,1.860242673455736e-4,0.014043924621384814,0.01860242673455736,7.083844982962509e-153,1.6325840573608823e-4,2.177846520851189,0.07155910336235648,1.8928444761492003,2.5057607891974367
anal_hrhpv_total,"% with anal-area HR-HPV, Total",Ulcerative Colitis,1191972,319,1191653,2.676237361280299e-4,0.026762373612802988,0.0268,1.96,1.4982047382979278e-5,0.0014982047382979277,2.9364812870639383e-5,0.002936481287063938,2.382589232573905e-4,2.9698854899866926e-4,0.023825892325739048,0.029698854899866928,7.083844982962509e-153,2.6769537776517155e-4,3.571022542363047,0.05638590096718056,3.1973924406110648,3.988313050376739
anal_hrhpv_anal_cancer_dysplasia_5y,"% with anal-area HR-HPV, and cancer/dysplasia within 5 years of diagnosis",Non-IBD,305065760,9404,305056356,3.0826140567200985e-5,0.0030826140567200987,0.0031,1.96,3.1787483687833637e-7,3.1787483687833634e-5,6.230346802815393e-7,6.230346802815393e-5,3.0203105886919447e-5,3.1449175247482524e-5,0.0030203105886919446,0.0031449175247482523,1.05062035845173e-93,3.0827090847436725e-5,1,,,
anal_hrhpv_anal_cancer_dysplasia_5y,"% with anal-area HR-HPV, and cancer/dysplasia within 5 years of diagnosis",Crohn's Disease,1206873,97,1206776,8.037299699305561e-5,0.00803729969930556,0.008,1.96,8.160313473525227e-6,8.160313473525227e-4,1.5994214408109444e-5,0.0015994214408109443,6.437878258494617e-5,9.636721140116505e-5,0.006437878258494617,0.009636721140116506,1.05062035845173e-93,8.037945733093797e-5,2.607429216358297,0.10206100142279463,2.134698029628872,3.1848472355131316
anal_hrhpv_anal_cancer_dysplasia_5y,"% with anal-area HR-HPV, and cancer/dysplasia within 5 years of diagnosis",Ulcerative Colitis,1191972,149,1191823,1.2500293631058446e-4,0.012500293631058446,0.0125,1.96,1.0239999483413252e-5,0.0010239999483413252,2.0070398987489975e-5,0.0020070398987489975,1.0493253732309448e-4,1.4507333529807445e-4,0.010493253732309448,0.014507333529807445,1.05062035845173e-93,1.2501856399817758e-4,4.055477197536883,0.0825747507016956,3.4494743272984834,4.7679425150620816
